discovered_at,source_query,business_name,website,resolved_url,domain,city,state,niche,email,phone,page_title,meta_description,opportunity_score,opportunity_band,reason_flags,has_chat,has_booking,has_sms_cta,emergency_service,form_count,cta_count,personalization_line,audit_summary,subject_line,recommended_angle,status,notes
2026-04-14T00:48:05+00:00,Plumbing Denver CO,"Plumber in Denver, CO",https://www.plumbingservicedenverco.com/,https://www.plumbingservicedenverco.com/,plumbingservicedenverco.com,Denver,CO,Plumbing,Loretta@mccombplumbing.com,(303) 753-1715,"Plumber in Denver, CO | McComb Plumbing","McComb Plumbing offers Plumber in Denver, Colorado and surrounding areas. We specialize in Clogged Drain, Drain Camera Inspection, Drain Cleaning, Emergency Plumbing, Garbage Disposal Repair, Residential Plumbing, Sewer Service, Sump Pump, Toilet Repairs, Water Heaters, and more!",100,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,False,False,True,1,2,"I took a quick look at Plumber in Denver, CO's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.","Plumber in Denver, CO does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Plumbing business in Denver.","Quick idea for Plumber in Denver, CO's inbound leads","high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:44:39+00:00,Roofing Phoenix AZ,🏠 Brown Roofing,https://brownroofingaz.com/,https://brownroofingaz.com/,brownroofingaz.com,Phoenix,AZ,Roofing,,(602) 626-5559,🏠 Brown Roofing | Trusted Roofing Company in Phoenix AZ,"Brown Roofing has delivered quality roofing services in Phoenix for over 50 years. Call now for repairs, replacements, foam roofing, and more.",94,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; phone-driven business likely depends on fast response,False,False,False,False,0,0,I took a quick look at 🏠 Brown Roofing's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"🏠 Brown Roofing does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a Roofing business in Phoenix.",Quick idea for 🏠 Brown Roofing's inbound leads,"high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:47:00+00:00,Roofing Las Vegas NV,Roofers Las Vegas Services and Professional Roof Care,https://www.prestigeroofinglv.com/,https://www.prestigeroofinglv.com/,prestigeroofinglv.com,Las Vegas,NV,Roofing,info@prestigeroofinglv.com,(702) 646-7536,Roofers Las Vegas Services and Professional Roof Care,"Roofers Las Vegas offering inspections, repairs, and installations with reliable service and skilled workmanship for residential and commercial roofing needs.",94,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; phone-driven business likely depends on fast response,False,False,False,False,1,1,I took a quick look at Roofers Las Vegas Services and Professional Roof Care's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"Roofers Las Vegas Services and Professional Roof Care does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a Roofing business in Las Vegas.",Quick idea for Roofers Las Vegas Services and Professional Roof Care's inbound leads,"high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:47:01+00:00,Roofing Las Vegas NV,"Local Roofers, Roofing Company & Contractor Las Vegas, NV",https://www.discountroofingnv.com/,https://www.discountroofingnv.com/,discountroofingnv.com,Las Vegas,NV,Roofing,discountroofingnv@gmail.com,0101011051,"Local Roofers, Roofing Company & Contractor Las Vegas, NV - Discount Roofing NV LLC","Discount Roofing NV LLC is a trusted roofing company in Las Vegas, NV, offering expert roof repairs, replacements, and inspections. Call 702-355-8287.",94,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; phone-driven business likely depends on fast response,False,False,False,False,0,2,"I took a quick look at Local Roofers, Roofing Company & Contractor Las Vegas, NV's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.","Local Roofers, Roofing Company & Contractor Las Vegas, NV does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a Roofing business in Las Vegas.","Quick idea for Local Roofers, Roofing Company & Contractor Las Vegas, NV's inbound leads","high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:47:57+00:00,Roofing Denver CO,"Interstate Roofing, Inc.",https://interstateroof.com/,https://interstateroof.com/,interstateroof.com,Denver,CO,Roofing,,(303) 763-9114,"Interstate Roofing, Inc. | From a Denver Roofing Company to Nationwide Roofing Excellence","Interstate Roofing, founded in Denver in 1994, delivers trusted residential, commercial, and luxury roofing services across the United States. Local expertise with nationwide strength.",94,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; phone-driven business likely depends on fast response,False,False,False,False,0,1,"I took a quick look at Interstate Roofing, Inc.'s website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.","Interstate Roofing, Inc. does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a Roofing business in Denver.","Quick idea for Interstate Roofing, Inc.'s inbound leads","high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:46:09+00:00,HVAC Mesa AZ,HVAC Mesa: Expert Heating and Cooling Services,https://www.hvacmesa.net/,https://www.hvacmesa.net/,hvacmesa.net,Mesa,AZ,HVAC,,(602) 962-7901,HVAC Mesa: Expert Heating and Cooling Services | HVAC Mesa,"HVAC Mesa offers professional heating, ventilation, and air conditioning services in Mesa, AZ, and surrounding areas. Our experienced contractors ensure your comfort and satisfaction with reliable HVAC solutions tailored to your needs.",94,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; phone-driven business likely depends on fast response,False,False,False,False,1,0,I took a quick look at HVAC Mesa: Expert Heating and Cooling Services's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"HVAC Mesa: Expert Heating and Cooling Services does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a HVAC business in Mesa.",Quick idea for HVAC Mesa: Expert Heating and Cooling Services's inbound leads,"high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:46:55+00:00,Water Damage Restoration Mesa AZ,"Water Damage Restoration in Mesa, AZ 85201 Near Me",https://mesaazwaterdamage.com/services/water-damage-restoration,https://mesaazwaterdamage.com/services/water-damage-restoration,mesaazwaterdamage.com,Mesa,AZ,Water Damage Restoration,,(602) 962-3556,"Water Damage Restoration in Mesa, AZ 85201 Near Me - Flood Cleanup, Emergency Water Removal, Mold Remediation, Storm Damage Repair","24/7 water damage restoration in Mesa, AZ 85201. Local experts offering emergency flood cleanup, water removal & mold remediation. Fast response within 30 minutes!",90,Hot,no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,False,False,True,0,1,"I took a quick look at Water Damage Restoration in Mesa, AZ 85201 Near Me's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.","Water Damage Restoration in Mesa, AZ 85201 Near Me does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Water Damage Restoration business in Mesa.","Quick idea for Water Damage Restoration in Mesa, AZ 85201 Near Me's inbound leads","no visible chat widget, no obvious booking flow, no text-first contact path",new,
2026-04-14T00:45:10+00:00,Water Damage Restoration Phoenix AZ,Phoenix Arizona restoration repair cleanup and construction,https://www.servpro.com/locations/az/phoenix-restoration,https://www.servpro.com/locations/az/phoenix-restoration,servpro.com,Phoenix,AZ,Water Damage Restoration,,(480) 977-9331,Phoenix Arizona restoration repair cleanup and construction | SERVPRO,"Phoenix depends on SERVPRO® 24/7 and holidays for storm, mold, water damage restoration near me, construction, and fire damage services.",90,Hot,no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,False,False,True,0,2,I took a quick look at Phoenix Arizona restoration repair cleanup and construction's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"Phoenix Arizona restoration repair cleanup and construction does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Water Damage Restoration business in Phoenix.",Quick idea for Phoenix Arizona restoration repair cleanup and construction's inbound leads,"no visible chat widget, no obvious booking flow, no text-first contact path",new,
2026-04-14T00:45:26+00:00,Water Damage Restoration Phoenix AZ,EHS Restoration: Home Restoration Services in Phoenix,https://www.ehsrestoration.com/,https://www.ehsrestoration.com/,ehsrestoration.com,Phoenix,AZ,Water Damage Restoration,EHS-LOGO@2x.png,(999) 999-9999,EHS Restoration: Home Restoration Services in Phoenix,"EHS Restoration is Arizona’s leading water damage, fire damage & natural disaster clean up company offering effective damage repare & mold remediation.",90,Hot,no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,False,False,True,1,1,I took a quick look at EHS Restoration: Home Restoration Services in Phoenix's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"EHS Restoration: Home Restoration Services in Phoenix does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Water Damage Restoration business in Phoenix.",Quick idea for EHS Restoration: Home Restoration Services in Phoenix's inbound leads,"no visible chat widget, no obvious booking flow, no text-first contact path",new,
2026-04-14T00:48:02+00:00,Plumbing Denver CO,Denver Plumbers,https://www.brothersplumbing.com/plumbing/,https://www.brothersplumbing.com/plumbing/,brothersplumbing.com,Denver,CO,Plumbing,,,,,88,Hot,high-ticket niche; no visible chat widget; no obvious booking flow; no text-first contact path; lightweight lead capture; few strong calls to action,False,False,False,False,0,0,I took a quick look at Denver Plumbers's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"Denver Plumbers does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like missed-call text-back and website lead qualification, especially for a Plumbing business in Denver.",Quick idea for Denver Plumbers's inbound leads,"high-ticket niche, no visible chat widget, no obvious booking flow",new,
2026-04-14T00:45:50+00:00,Plumbing Mesa AZ,S3 Plumbing,https://s3plumbingaz.com/,https://s3plumbingaz.com/,s3plumbingaz.com,Mesa,AZ,Plumbing,,(480) 332-3591,"S3 Plumbing - Professional Plumbers in Mesa, AZ","S3 Plumbing provides expert plumbing services from leaks & repairs to installations, trust our professional plumbers in Mesa, AZ for fast, reliable service.",86,Hot,high-ticket niche; no visible chat widget; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,True,False,True,0,1,I took a quick look at S3 Plumbing's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"S3 Plumbing does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Plumbing business in Mesa.",Quick idea for S3 Plumbing's inbound leads,"high-ticket niche, no visible chat widget, no text-first contact path",new,
2026-04-14T00:48:06+00:00,Plumbing Denver CO,"Plumbing, Heating & Cooling",https://billsmith-plumbing.com/,https://billsmith-plumbing.com/,billsmith-plumbing.com,Denver,CO,Plumbing,info@billsmith-plumbing.com,104.9915197,"Plumbing, Heating & Cooling | Bill Smith Plumbing | Denver, Colo","Need home plumbing, heating, & cooling services? We got you covered by basing quotes on the unique needs of each home; not flat rates. Call.",86,Hot,high-ticket niche; no visible chat widget; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,True,False,True,1,0,"I took a quick look at Plumbing, Heating & Cooling's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.","Plumbing, Heating & Cooling does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Plumbing business in Denver.","Quick idea for Plumbing, Heating & Cooling's inbound leads","high-ticket niche, no visible chat widget, no text-first contact path",new,
2026-04-14T00:45:54+00:00,Plumbing Mesa AZ,Plumber Mesa,https://www.travisandsonsplumbing.com/mesa,https://www.travisandsonsplumbing.com/mesa,travisandsonsplumbing.com,Mesa,AZ,Plumbing,,(480) 837-9422,Plumber Mesa - Plumber Mesa AZ - Looking for Mesa Plumbers? - Plumbers Mesa AZ,"Looking for a trusted plumber Mesa residents rely on? We provide fast, professional plumbing services including repairs, installations, and emergency plumbing. Call today for same-day service from experienced Mesa plumbers.",86,Hot,high-ticket niche; no visible chat widget; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,True,False,True,1,1,I took a quick look at Plumber Mesa's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"Plumber Mesa does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Plumbing business in Mesa.",Quick idea for Plumber Mesa's inbound leads,"high-ticket niche, no visible chat widget, no text-first contact path",new,
2026-04-14T00:47:03+00:00,Plumbing Las Vegas NV,Plumber Las Vegas,https://www.precisionplumbinglv.com/,https://www.precisionplumbinglv.com/,precisionplumbinglv.com,Las Vegas,NV,Plumbing,example@gmail.com,+1 702-253-6363,Plumber Las Vegas - Precision Plumbing - Las Vegas Plumbing,"Looking for a reliable Las Vegas plumber? Precision Plumbing offers 24/7 emergency services, affordable pricing, and a team of licensed and experienced plumbers to handle all your plumbing needs. From water heater repair to leak detection and drain cleaning, we have you covered. Call your Las Vegas Plumber today",86,Hot,high-ticket niche; no visible chat widget; no text-first contact path; lightweight lead capture; few strong calls to action; speed matters for after-hours or urgent leads; phone-driven business likely depends on fast response,False,True,False,True,0,0,I took a quick look at Plumber Las Vegas's website and noticed there does not seem to be an instant way for leads to get a response when the team is busy.,"Plumber Las Vegas does not appear to have instant chat or after-hours lead capture on the site. The biggest opening looks like after-hours lead capture for urgent jobs and dispatch follow-up, especially for a Plumbing business in Las Vegas.",Quick idea for Plumber Las Vegas's inbound leads,"high-ticket niche, no visible chat widget, no text-first contact path",new,
